gene	079_warmM	082_warmM	086_warmM	090_warmM	097_warmM	098_warmM	080_warmF	089_warmF	091_warmF	096_warmF
ENSMUSG00000118554	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090497	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118555	3	8	4	5	5	5	1	5	3	1
ENSMUSG00000097309	15	35	12	31	23	22	10	22	28	21
ENSMUSG00000108892	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000097264	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106512	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070075	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000115356	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000030889	3	6	6	4	0	5	0	1	9	3
ENSMUSG00000030888	282	318	183	227	187	195	170	197	187	218
ENSMUSG00000086190	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086191	3	0	3	0	2	0	0	0	2	1
ENSMUSG00000086196	0	0	1	1	2	2	0	4	0	6
ENSMUSG00000086197	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000079033	1	3	1	0	1	0	1	0	2	0
ENSMUSG00000030881	245	415	232	317	208	234	149	261	285	195
ENSMUSG00000026753	1696	1928	1016	1374	1162	1038	913	918	1270	982
ENSMUSG00000026750	1325	1585	779	1147	803	725	734	928	1454	1024
ENSMUSG00000030882	67	136	78	61	69	41	32	82	103	52
ENSMUSG00000030884	5520	6307	3542	5113	3539	3420	3303	4152	5391	3452
ENSMUSG00000026754	726	1030	545	741	702	602	412	545	661	561
ENSMUSG00000026755	1008	1209	694	851	613	593	504	532	718	497
ENSMUSG00000007338	773	1016	507	651	590	568	498	627	690	468
ENSMUSG00000070072	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093363	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000059213	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000093362	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075833	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000075832	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106514	0	0	2	0	0	0	0	1	0	0
ENSMUSG00000075837	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000070078	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115354	1	0	1	0	2	0	0	0	0	0
ENSMUSG00000086224	5	9	0	8	7	2	5	4	12	14
ENSMUSG00000086225	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086226	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086227	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086220	0	2	0	0	0	0	0	1	0	0
ENSMUSG00000086221	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086222	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000086228	6	11	2	5	6	11	1	11	7	12
ENSMUSG00000003824	156	283	174	185	178	135	116	213	248	182
ENSMUSG00000081643	3	9	3	3	2	2	2	1	2	2
ENSMUSG00000081642	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081641	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081640	2	4	2	4	0	0	0	1	1	2
ENSMUSG00000081647	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081646	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081649	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081648	13	18	4	14	6	3	6	7	9	7
ENSMUSG00000085553	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000085552	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085551	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000085556	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085555	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004446	287	378	251	359	273	256	180	365	387	290
ENSMUSG00000098550	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085559	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085558	58	69	31	38	37	34	43	58	49	50
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094675	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094676	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094677	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106598	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047168	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000089417	67	188	63	45	31	45	25	28	44	43
ENSMUSG00000089414	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089415	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089413	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089410	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047161	0	3	0	1	0	0	0	0	2	1
ENSMUSG00000077090	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077096	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077095	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085885	0	1	1	0	1	1	0	0	0	0
ENSMUSG00000085884	2	11	4	7	2	0	5	4	0	4
ENSMUSG00000085887	1	15	3	8	7	7	7	5	7	5
ENSMUSG00000085886	0	1	0	0	0	1	1	0	1	0
ENSMUSG00000085881	8	11	11	1	1	10	10	13	18	18
ENSMUSG00000085880	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085883	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000085882	10	16	5	21	9	13	9	15	12	18
ENSMUSG00000085889	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000085888	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000029919	15	39	30	43	31	26	15	31	43	32
ENSMUSG00000029918	218	209	146	253	157	109	136	137	188	190
ENSMUSG00000100172	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029915	1	0	0	6	1	1	5	7	4	2
ENSMUSG00000029917	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029916	214	319	160	226	192	156	199	193	323	213
ENSMUSG00000029911	712	901	454	731	579	578	434	433	546	529
ENSMUSG00000029910	78	80	37	70	54	59	60	41	38	59
ENSMUSG00000029913	3	12	2	8	7	4	9	3	9	4
ENSMUSG00000077549	2	7	2	8	3	0	8	3	6	4
ENSMUSG00000027215	1725	2220	1305	1630	1088	1103	1108	1788	1941	1434
ENSMUSG00000077545	0	1	0	0	0	1	0	0	1	0
ENSMUSG00000077547	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077546	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077541	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077543	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077542	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095108	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084682	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084683	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084684	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084686	1	2	0	1	1	0	1	6	4	2
ENSMUSG00000084688	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006179	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000095103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095102	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095105	7	14	7	11	9	7	8	7	12	9
ENSMUSG00000095104	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095107	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098083	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098082	0	0	0	0	0	0	0	0	0	0
