"" "log2FoldChange" "padj" "log2FoldChange" "padj" "padj" Amb&Conserved
"ENSMUSG00000001175" -0.29088548012382 0.00989664208735308 -0.253460940877979 0.158795817040334 0.948024834861284 Amb&Conserved
"ENSMUSG00000001229" -0.0833708856409134 0.65010479946316 -0.0116364272458024 0.975576240290398 1 Amb&Conserved
"ENSMUSG00000001240" -0.0135030928923682 0.961981364851424 -0.236361529445178 0.599632129174804 0.721227869167266 Amb&Conserved
"ENSMUSG00000001248" 0.189240116365377 0.298878048357493 -1.53876195863219 0.104684920243248 4.08987542340951e-08 Amb&Conserved
"ENSMUSG00000001280" 0.214415689765079 0.0402337187178443 0.298197513079574 0.424577913271279 0.999346359497878 Amb&Conserved
"ENSMUSG00000001288" 0.0819831744819996 0.737790081082107 0.39607948027549 0.251110609236456 0.783428621632087 Amb&Conserved
"ENSMUSG00000001323" -0.0876688759106458 0.4332147206885 -0.183164672390643 0.262271218305051 0.354154979557974 Amb&Conserved
"ENSMUSG00000001366" -0.0875586535417414 0.353023014729983 -0.101122716366278 0.604215525221817 0.797252990244678 Amb&Conserved
"ENSMUSG00000001380" -0.0467289240907115 0.699314913480602 0.393230021077454 0.31935707668171 0.269190706652498 Amb&Conserved
"ENSMUSG00000001418" -0.194577171461557 0.0839057384607251 -0.0247122455147518 0.965602402106746 0.851059759319467 Amb&Conserved
"ENSMUSG00000001419" 0.124673158402401 0.531597854015219 -0.668293794141928 0.397259395577113 0.248933847970524 Amb&Conserved
"ENSMUSG00000001420" -0.029804173790878 0.90677821396465 0.595969144980401 0.345253166430882 0.851332913315883 Amb&Conserved
"ENSMUSG00000001424" -0.309343366228302 0.0183332062276093 -0.0143690495566222 0.960909463881206 0.0820817087491608 Amb&Conserved
"ENSMUSG00000001436" -0.0967693311093758 0.661925395898003 0.369983020736158 0.211190489717179 0.25895407866488 Amb&Conserved
"ENSMUSG00000001441" 0.0530346903707092 0.637099109956706 -0.197786067284765 0.700280101512366 0.566589921908825 Amb&Conserved
"ENSMUSG00000001445" -0.332980623092822 0.00493349582125222 -0.152621138997339 0.851739084952147 1 Amb&Conserved
"ENSMUSG00000001472" -0.0545803462011355 0.540270550600272 0.201145528073918 0.329330650548773 0.330582883784561 Amb&Conserved
"ENSMUSG00000001473" 0.617754012431066 0.0144607324001052 0.724092386117187 0.161236522107335 1 Amb&Conserved
"ENSMUSG00000001506" 0.760783640000232 3.03353588196811e-07 -0.266501701395264 0.79020703322162 0.197114593124732 Amb&Conserved
"ENSMUSG00000001521" -0.0813762643797517 0.798258781739227 0.301674845662524 0.723371049455701 0.800215840938102 Amb&Conserved
"ENSMUSG00000001524" -0.15973571391785 0.335254057998058 -0.119026375955954 0.696399456773535 1 Amb&Conserved
"ENSMUSG00000001525" 0.00147437023442634 0.995345824805176 0.399074850314976 0.442006792888011 0.601824090263073 Amb&Conserved
"ENSMUSG00000001542" 0.166263305498063 0.144336701829966 0.191181443622674 0.425666270705898 0.952654837633525 Amb&Conserved
"ENSMUSG00000001552" 0.271228363823594 0.084729669251944 0.0400084787666494 0.948053031240932 0.622246824089875 Amb&Conserved
"ENSMUSG00000001630" 0.1754979563245 0.275640249292311 0.465123743548797 0.209909574261903 0.853523965515927 Amb&Conserved
"ENSMUSG00000001632" 0.161002206473145 0.330578468449718 -0.354218112583029 0.532897506939932 0.404528462753104 Amb&Conserved
"ENSMUSG00000001642" 0.0554574308663775 0.829496108219016 -0.168171095972189 0.795895825150044 0.871800245492437 Amb&Conserved
"ENSMUSG00000001665" -0.291087251896296 0.434602029009537 0.117289519665343 0.338879532538376 4.14443343535554e-05 Amb&Conserved
"ENSMUSG00000001707" 0.144968754259175 0.46750971154002 -1.0277421237397 0.0959097017156546 0.00831249756068565 Amb&Conserved
"ENSMUSG00000001729" -0.181107892839214 0.114679678253786 0.211832050275497 0.386502547253824 0.167211640689003 Amb&Conserved
"ENSMUSG00000001751" -0.357651351483876 0.0104295522281667 0.20092013400255 0.648222799259246 0.145153894671593 Amb&Conserved
"ENSMUSG00000001767" -0.156989955446408 0.302335072265244 -0.477004203456848 0.00520700329188663 0.148815649541582 Amb&Conserved
"ENSMUSG00000001768" 0.144826313235407 0.3831158208016 0.606926568442923 0.00938637051029157 0.251451829292959 Amb&Conserved
"ENSMUSG00000001774" 0.248385905262043 0.23558010517326 -0.0766814346706156 0.900351208083524 0.394925470466871 Amb&Conserved
"ENSMUSG00000001783" -0.220340913592172 0.0886855631063618 -0.240626311042217 0.156884722251528 0.830271416717084 Amb&Conserved
"ENSMUSG00000001785" 0.261045340024183 0.0233337016186988 0.106548180802228 0.69129266777994 0.706732724843472 Amb&Conserved
"ENSMUSG00000001786" -0.418760069246346 0.00083557461271283 -0.693309168084209 0.0916583762782641 0.590618673053737 Amb&Conserved
"ENSMUSG00000001829" 0.272764714009987 0.0383983718928009 0.363170592861556 0.63172670755485 0.95635188590393 Amb&Conserved
"ENSMUSG00000001844" -0.178021845833723 0.168592601204964 0.219107077604 0.483540158311602 0.371258449027184 Amb&Conserved
"ENSMUSG00000001847" 0.161049757627262 0.12030297131185 0.236766355600015 0.347312981283123 0.959090347114253 Amb&Conserved
"ENSMUSG00000001855" 0.176142783842472 0.248820442348358 -0.010812171934871 0.982635002528635 0.561146799262678 Amb&Conserved
"ENSMUSG00000001870" 0.265900936944649 0.117425106176366 -0.26036069430361 0.844786597955306 0.614394914935799 Amb&Conserved
"ENSMUSG00000001911" 0.00804762754662058 0.972722451367699 -0.0031955551252393 0.996253208072976 0.961300955374895 Amb&Conserved
"ENSMUSG00000001930" 0.129279170149818 0.469315269631054 0.270782380213689 0.441905484404899 0.907475942536269 Amb&Conserved
"ENSMUSG00000001942" 0.0237765241061256 0.875310132429985 0.00979025454021055 0.977947008952034 0.865467112764141 Amb&Conserved
"ENSMUSG00000001943" 0.473931636957676 0.236541449142176 -0.206340869151881 0.86233799428921 0.945054872668804 Amb&Conserved
"ENSMUSG00000001946" -0.239071011383479 0.129617450925743 -0.894062643147394 0.17244970844903 0.394018680749217 Amb&Conserved
